type_carburant,aspiration,nombre_portes,type_carrosserie,roues_motrices,emplacement_moteur,empattement,longueur_voiture,largeur_voiture,hauteur_voiture,poids_vide,type_moteur,nombre_cylindres,taille_moteur,systeme_carburant,alesage,course,taux_compression,puissance,trmin_max,consommation_ville,consommation_autoroute,prix,marque,modele
essence,standard,deux,décapotable,traction arrière,avant,225.0,429.0,163.0,124.0,1,Double arbre à cames en tête,quatre,2130,mpfi,88,3.0,9.0,111,5000,0.0,0.0,11471.0,alfa-romeo,giulia
essence,standard,deux,décapotable,traction arrière,avant,225.0,429.0,163.0,124.0,1,Double arbre à cames en tête,quatre,2130,mpfi,88,3.0,9.0,111,5000,0.0,0.0,14025.0,alfa-romeo,stelvio
essence,standard,deux,à hayon,traction arrière,avant,240.0,435.0,166.0,133.0,1,Arbre à cames en tête avec soupapes en V,six,2491,mpfi,68,3.0,9.0,154,5000,0.0,0.0,14025.0,alfa-romeo,Quadrifoglio
essence,standard,quatre,berline,traction avant,avant,253.0,449.0,168.0,138.0,1,Arbre à cames en tête,quatre,1786,mpfi,81,3.0,10.0,102,5500,0.0,0.0,11858.0,audi,100 ls
essence,standard,quatre,berline,quatre roues motrices,avant,252.0,449.0,169.0,138.0,1,Arbre à cames en tête,cinq,2229,mpfi,81,3.0,8.0,115,5500,0.0,0.0,14832.0,audi,100ls
essence,standard,deux,berline,traction avant,avant,253.0,450.0,168.0,135.0,1,Arbre à cames en tête,cinq,2229,mpfi,81,3.0,8.0,110,5500,0.0,0.0,12962.0,audi,fox
essence,standard,quatre,berline,traction avant,avant,269.0,489.0,181.0,141.0,1,Arbre à cames en tête,cinq,2229,mpfi,81,3.0,8.0,110,5500,0.0,0.0,15054.0,audi,100ls
essence,standard,quatre,break,traction avant,avant,269.0,489.0,181.0,141.0,1,Arbre à cames en tête,cinq,2229,mpfi,81,3.0,8.0,110,5500,0.0,0.0,16082.0,audi,5000
essence,turbocharged,quatre,berline,traction avant,avant,269.0,489.0,181.0,142.0,1,Arbre à cames en tête,cinq,2147,mpfi,80,3.0,8.0,140,5500,0.0,0.0,20294.0,audi,4000
essence,turbocharged,deux,à hayon,quatre roues motrices,avant,253.0,453.0,172.0,132.0,1,Arbre à cames en tête,cinq,2147,mpfi,80,3.0,7.0,160,5500,0.0,0.0,15180.0,audi,5000s (diesel)
essence,standard,deux,berline,traction arrière,avant,257.0,449.0,165.0,138.0,1,Arbre à cames en tête,quatre,1770,mpfi,89,3.0,9.0,101,5800,0.0,0.0,13966.0,bmw,320i
essence,standard,quatre,berline,traction arrière,avant,257.0,449.0,165.0,138.0,1,Arbre à cames en tête,quatre,1770,mpfi,89,3.0,9.0,101,5800,0.0,0.0,14386.0,bmw,320i
essence,standard,deux,berline,traction arrière,avant,257.0,449.0,165.0,138.0,1,Arbre à cames en tête,six,2687,mpfi,84,3.0,9.0,121,4250,0.0,0.0,17824.0,bmw,x1
essence,standard,quatre,berline,traction arrière,avant,257.0,449.0,165.0,138.0,1,Arbre à cames en tête,six,2687,mpfi,84,3.0,9.0,121,4250,0.0,0.0,17939.0,bmw,x3
essence,standard,quatre,berline,traction arrière,avant,263.0,480.0,170.0,141.0,1,Arbre à cames en tête,six,2687,mpfi,84,3.0,9.0,121,4250,0.0,0.0,20880.0,bmw,z4
essence,standard,quatre,berline,traction arrière,avant,263.0,480.0,170.0,141.0,1,Arbre à cames en tête,six,3425,mpfi,92,3.0,8.0,182,5400,0.0,0.0,26146.0,bmw,x4
essence,standard,deux,berline,traction arrière,avant,263.0,492.0,172.0,136.0,2,Arbre à cames en tête,six,3425,mpfi,92,3.0,8.0,182,5400,0.0,0.0,35118.0,bmw,x5
essence,standard,quatre,berline,traction arrière,avant,279.0,500.0,180.0,143.0,2,Arbre à cames en tête,six,3425,mpfi,92,3.0,8.0,182,5400,0.0,0.0,31348.0,bmw,x3
essence,standard,deux,à hayon,traction avant,avant,225.0,358.0,153.0,135.0,1,En ligne,trois,1000,2bbl,74,3.0,10.0,48,5100,0.0,0.0,4378.0,chevrolet,impala
essence,standard,deux,à hayon,traction avant,avant,240.0,396.0,162.0,132.0,1,Arbre à cames en tête,quatre,1475,2bbl,77,3.0,10.0,70,5400,0.0,0.0,5351.0,chevrolet,monte carlo
essence,standard,quatre,berline,traction avant,avant,240.0,403.0,162.0,132.0,1,Arbre à cames en tête,quatre,1475,2bbl,77,3.0,10.0,70,5400,0.0,0.0,5589.0,chevrolet,vega 2300
essence,standard,deux,à hayon,traction avant,avant,238.0,400.0,162.0,129.0,1,Arbre à cames en tête,quatre,1475,2bbl,75,3.0,9.0,68,5500,0.0,0.0,4736.0,dodge,rampage
essence,standard,deux,à hayon,traction avant,avant,238.0,400.0,162.0,129.0,1,Arbre à cames en tête,quatre,1475,2bbl,75,3.0,9.0,68,5500,0.0,0.0,5420.0,dodge,challenger se
essence,turbocharged,deux,à hayon,traction avant,avant,238.0,400.0,162.0,129.0,1,Arbre à cames en tête,quatre,1606,mpfi,77,3.0,8.0,102,5500,0.0,0.0,6763.0,dodge,d200
essence,standard,quatre,à hayon,traction avant,avant,238.0,400.0,162.0,129.0,1,Arbre à cames en tête,quatre,1475,2bbl,75,3.0,9.0,68,5500,0.0,0.0,5295.0,dodge,monaco (sw)
essence,standard,quatre,berline,traction avant,avant,238.0,400.0,162.0,129.0,1,Arbre à cames en tête,quatre,1475,2bbl,75,3.0,9.0,68,5500,0.0,0.0,5688.0,dodge,colt hardtop
essence,standard,quatre,berline,traction avant,avant,238.0,400.0,162.0,129.0,1,Arbre à cames en tête,quatre,1475,2bbl,75,3.0,9.0,68,5500,0.0,0.0,6468.0,dodge,colt (sw)
essence,turbocharged,deux,berline,traction avant,avant,238.0,400.0,162.0,129.0,1,Arbre à cames en tête,quatre,1606,mpfi,77,3.0,8.0,102,5500,0.0,0.0,7274.0,dodge,coronet custom
essence,standard,quatre,break,traction avant,avant,262.0,443.0,164.0,152.0,1,Arbre à cames en tête,quatre,1999,2bbl,85,3.0,8.0,88,5000,0.0,0.0,7583.0,dodge,dart custom
essence,turbocharged,deux,à hayon,traction avant,avant,244.0,440.0,168.0,128.0,1,Arbre à cames en tête,quatre,2556,mfi,91,4.0,7.0,145,5000,0.0,0.0,11019.0,dodge,coronet custom (sw)
essence,standard,deux,à hayon,traction avant,avant,220.0,367.0,162.0,129.0,1,Arbre à cames en tête,quatre,1508,1bbl,74,3.0,10.0,58,4800,0.0,0.0,5507.0,honda,civic
essence,standard,deux,à hayon,traction avant,avant,220.0,367.0,162.0,129.0,1,Arbre à cames en tête,quatre,1508,1bbl,74,3.0,9.0,76,6000,0.0,0.0,5827.0,honda,civic cvcc
essence,standard,deux,à hayon,traction avant,avant,238.0,381.0,163.0,134.0,1,Arbre à cames en tête,quatre,1295,1bbl,74,3.0,10.0,60,5500,0.0,0.0,4589.0,honda,civic
essence,standard,deux,à hayon,traction avant,avant,238.0,381.0,163.0,134.0,1,Arbre à cames en tête,quatre,1508,1bbl,74,3.0,9.0,76,6000,0.0,0.0,5550.0,honda,accord cvcc
essence,standard,deux,à hayon,traction avant,avant,238.0,381.0,163.0,134.0,1,Arbre à cames en tête,quatre,1508,1bbl,74,3.0,9.0,76,6000,0.0,0.0,6060.0,honda,civic cvcc
essence,standard,quatre,berline,traction avant,avant,245.0,415.0,163.0,138.0,1,Arbre à cames en tête,quatre,1508,1bbl,74,3.0,9.0,76,6000,0.0,0.0,6201.0,honda,accord lx
essence,standard,quatre,break,traction avant,avant,245.0,399.0,162.0,148.0,1,Arbre à cames en tête,quatre,1508,1bbl,74,3.0,9.0,76,6000,0.0,0.0,6201.0,honda,civic 1500 gl
essence,standard,deux,à hayon,traction avant,avant,245.0,425.0,166.0,135.0,1,Arbre à cames en tête,quatre,1803,1bbl,80,4.0,9.0,86,5800,0.0,0.0,6711.0,honda,accord
essence,standard,deux,à hayon,traction avant,avant,245.0,425.0,166.0,135.0,1,Arbre à cames en tête,quatre,1803,1bbl,80,4.0,9.0,86,5800,0.0,0.0,7731.0,honda,civic 1300
essence,standard,quatre,berline,traction avant,avant,245.0,446.0,166.0,137.0,1,Arbre à cames en tête,quatre,1803,1bbl,80,4.0,9.0,86,5800,0.0,0.0,7518.0,honda,prelude
essence,standard,quatre,berline,traction avant,avant,245.0,446.0,159.0,137.0,1,Arbre à cames en tête,quatre,1803,1bbl,80,4.0,9.0,86,5800,0.0,0.0,8751.0,honda,accord
essence,standard,quatre,berline,traction avant,avant,245.0,446.0,166.0,137.0,1,Arbre à cames en tête,quatre,1803,mpfi,80,4.0,9.0,101,5800,0.0,0.0,11003.0,honda,civic
essence,standard,deux,berline,traction avant,avant,245.0,430.0,168.0,130.0,1,Arbre à cames en tête,quatre,1803,2bbl,80,4.0,9.0,100,5500,0.0,0.0,8793.0,honda,civic (auto)
essence,standard,quatre,berline,traction arrière,avant,240.0,434.0,157.0,136.0,1,Arbre à cames en tête,quatre,1819,2bbl,84,3.0,8.0,78,4800,0.0,0.0,5767.0,isuzu,MU-X
essence,standard,deux,berline,traction avant,avant,240.0,396.0,162.0,132.0,1,Arbre à cames en tête,quatre,1475,2bbl,77,3.0,10.0,70,5400,0.0,0.0,7579.0,isuzu,D-Max 
essence,standard,quatre,berline,traction avant,avant,240.0,396.0,162.0,132.0,1,Arbre à cames en tête,quatre,1475,2bbl,77,3.0,10.0,70,5400,0.0,0.0,7579.0,isuzu,D-Max V-Cross
essence,standard,deux,à hayon,traction arrière,avant,244.0,438.0,166.0,131.0,1,Arbre à cames en tête,quatre,1950,spfi,87,3.0,9.0,90,5000,0.0,0.0,9391.0,isuzu,D-Max 
essence,standard,quatre,berline,traction arrière,avant,287.0,507.0,177.0,134.0,2,Double arbre à cames en tête,six,4228,mpfi,92,4.0,8.0,176,4750,0.0,0.0,27412.0,jaguar,xj
essence,standard,quatre,berline,traction arrière,avant,287.0,507.0,177.0,134.0,2,Double arbre à cames en tête,six,4228,mpfi,92,4.0,8.0,176,4750,0.0,0.0,30218.0,jaguar,xf
essence,standard,deux,berline,traction arrière,avant,259.0,487.0,179.0,121.0,2,Arbre à cames en tête avec soupapes en V,douze,5342,mpfi,90,3.0,12.0,262,5000,0.0,0.0,30600.0,jaguar,xk
essence,standard,deux,à hayon,traction avant,avant,236.0,404.0,163.0,137.0,1,Arbre à cames en tête,quatre,1491,2bbl,77,3.0,9.0,68,5000,0.0,0.0,4416.0,mazda,rx3
essence,standard,deux,à hayon,traction avant,avant,236.0,404.0,163.0,137.0,1,Arbre à cames en tête,quatre,1491,2bbl,77,3.0,9.0,68,5000,0.0,0.0,5181.0,mazda,glc deluxe
essence,standard,deux,à hayon,traction avant,avant,236.0,404.0,163.0,137.0,1,Arbre à cames en tête,quatre,1491,2bbl,77,3.0,9.0,68,5000,0.0,0.0,5776.0,mazda,rx2 coupe
essence,standard,quatre,berline,traction avant,avant,236.0,424.0,163.0,137.0,1,Arbre à cames en tête,quatre,1491,2bbl,77,3.0,9.0,68,5000,0.0,0.0,5691.0,mazda,rx-4
essence,standard,quatre,berline,traction avant,avant,236.0,424.0,163.0,137.0,1,Arbre à cames en tête,quatre,1491,2bbl,78,3.0,9.0,68,5000,0.0,0.0,6286.0,mazda,glc deluxe
essence,standard,deux,à hayon,traction arrière,avant,242.0,429.0,167.0,126.0,1,Moteur rotatif,deux,1147,4bbl,85,3.0,9.0,101,6000,0.0,0.0,9303.0,mazda,626
essence,standard,deux,à hayon,traction arrière,avant,242.0,429.0,167.0,126.0,1,Moteur rotatif,deux,1147,4bbl,85,3.0,9.0,101,6000,0.0,0.0,10068.0,mazda,glc
essence,standard,deux,à hayon,traction arrière,avant,242.0,429.0,167.0,126.0,1,Moteur rotatif,deux,1147,4bbl,85,3.0,9.0,101,6000,0.0,0.0,11598.0,mazda,rx-7 gs
essence,standard,deux,à hayon,traction arrière,avant,242.0,429.0,167.0,126.0,1,Moteur rotatif,deux,1311,mpfi,85,3.0,9.0,135,6000,0.0,0.0,13298.0,mazda,glc 4
essence,standard,deux,à hayon,traction avant,avant,251.0,452.0,169.0,136.0,1,Arbre à cames en tête,quatre,1999,2bbl,86,3.0,9.0,84,4800,0.0,0.0,7518.0,mazda,626
essence,standard,quatre,berline,traction avant,avant,251.0,452.0,169.0,141.0,1,Arbre à cames en tête,quatre,1999,2bbl,86,3.0,9.0,84,4800,0.0,0.0,7221.0,mazda,glc custom l
essence,standard,deux,à hayon,traction avant,avant,251.0,452.0,169.0,136.0,1,Arbre à cames en tête,quatre,1999,2bbl,86,3.0,9.0,84,4800,0.0,0.0,9006.0,mazda,glc custom
essence,standard,quatre,berline,traction avant,avant,251.0,452.0,169.0,141.0,1,Arbre à cames en tête,quatre,1999,2bbl,86,3.0,9.0,84,4800,0.0,0.0,8708.0,mazda,rx-4
diesel,standard,quatre,berline,traction avant,avant,251.0,452.0,169.0,141.0,1,Arbre à cames en tête,quatre,1999,idi,86,3.0,23.0,64,4650,0.0,0.0,9176.0,mazda,glc deluxe
essence,standard,quatre,à hayon,traction avant,avant,251.0,452.0,169.0,141.0,1,Arbre à cames en tête,quatre,1999,2bbl,86,3.0,9.0,84,4800,0.0,0.0,9558.0,mazda,626
essence,standard,quatre,berline,traction arrière,avant,266.0,444.0,168.0,138.0,1,Arbre à cames en tête,quatre,2294,mpfi,96,3.0,8.0,120,5000,0.0,0.0,15538.0,mazda,glc
diesel,standard,quatre,berline,traction arrière,avant,266.0,444.0,168.0,138.0,1,Arbre à cames en tête,quatre,2196,idi,87,4.0,22.0,72,4200,0.0,0.0,15592.0,mazda,rx-7 gs
diesel,turbocharged,quatre,berline,traction arrière,avant,279.0,485.0,179.0,144.0,2,Arbre à cames en tête,cinq,2999,idi,91,4.0,22.0,123,4350,0.0,0.0,21719.0,buick,electra 225 custom
diesel,turbocharged,quatre,break,traction arrière,avant,279.0,485.0,179.0,149.0,2,Arbre à cames en tête,cinq,2999,idi,91,4.0,22.0,123,4350,0.0,0.0,24011.0,buick,century luxus (sw)
diesel,turbocharged,deux,coupé,traction arrière,avant,271.0,476.0,179.0,139.0,2,Arbre à cames en tête,cinq,2999,idi,91,4.0,22.0,123,4350,0.0,0.0,23950.0,buick,century
diesel,turbocharged,quatre,berline,traction arrière,avant,294.0,515.0,182.0,143.0,2,Arbre à cames en tête,cinq,2999,idi,91,4.0,22.0,123,4350,0.0,0.0,26860.0,buick,skyhawk
essence,standard,quatre,berline,traction arrière,avant,294.0,515.0,182.0,144.0,2,Arbre à cames en tête avec soupapes en V,huit,3835,mpfi,88,3.0,8.0,155,4750,0.0,0.0,29056.0,buick,opel isuzu deluxe
essence,standard,deux,décapotable,traction arrière,avant,245.0,458.0,179.0,129.0,2,Arbre à cames en tête avec soupapes en V,huit,3835,mpfi,88,3.0,8.0,155,4750,0.0,0.0,29798.0,buick,skylark
essence,standard,quatre,berline,traction arrière,avant,307.0,529.0,182.0,144.0,2,Arbre à cames en tête avec soupapes en V,huit,5047,mpfi,97,3.0,8.0,184,4500,0.0,0.0,34816.0,buick,century special
essence,standard,deux,coupé,traction arrière,avant,284.0,506.0,183.0,141.0,2,Arbre à cames en tête avec soupapes en V,huit,4982,mpfi,97,3.0,8.0,184,4500,0.0,0.0,38590.0,buick,regal sport coupe (turbo)
essence,turbocharged,deux,à hayon,traction arrière,avant,261.0,453.0,173.0,139.0,1,Arbre à cames en tête,quatre,2294,mpfi,96,3.0,8.0,175,5000,0.0,0.0,14028.0,mercury,cougar
essence,standard,deux,à hayon,traction avant,avant,238.0,400.0,164.0,129.0,1,Arbre à cames en tête,quatre,1508,2bbl,75,3.0,9.0,68,5500,0.0,0.0,4581.0,mitsubishi,mirage
essence,standard,deux,à hayon,traction avant,avant,238.0,400.0,164.0,129.0,1,Arbre à cames en tête,quatre,1508,2bbl,75,3.0,9.0,68,5500,0.0,0.0,5261.0,mitsubishi,lancer
essence,standard,deux,à hayon,traction avant,avant,238.0,400.0,164.0,129.0,1,Arbre à cames en tête,quatre,1508,2bbl,75,3.0,9.0,68,5500,0.0,0.0,5669.0,mitsubishi,outlander
essence,turbocharged,deux,à hayon,traction avant,avant,236.0,400.0,162.0,129.0,1,Arbre à cames en tête,quatre,1606,spdi,77,3.0,8.0,102,5500,0.0,0.0,6536.0,mitsubishi,g4
essence,turbocharged,deux,à hayon,traction avant,avant,245.0,439.0,166.0,125.0,1,Arbre à cames en tête,quatre,1803,spdi,81,3.0,8.0,116,5500,0.0,0.0,8465.0,mitsubishi,mirage g4
essence,standard,deux,à hayon,traction avant,avant,245.0,439.0,166.0,125.0,1,Arbre à cames en tête,quatre,1999,2bbl,85,3.0,8.0,88,5000,0.0,0.0,7224.0,mitsubishi,g4
essence,turbocharged,deux,à hayon,traction avant,avant,244.0,440.0,168.0,128.0,1,Arbre à cames en tête,quatre,2556,spdi,91,4.0,7.0,145,5000,0.0,0.0,10735.0,mitsubishi,outlander
essence,turbocharged,deux,à hayon,traction avant,avant,244.0,440.0,168.0,128.0,1,Arbre à cames en tête,quatre,2556,spdi,91,4.0,7.0,145,5000,0.0,0.0,12639.0,mitsubishi,g4
essence,turbocharged,deux,à hayon,traction avant,avant,244.0,440.0,168.0,128.0,1,Arbre à cames en tête,quatre,2556,spdi,91,4.0,7.0,145,5000,0.0,0.0,12316.0,mitsubishi,mirage g4
essence,standard,quatre,berline,traction avant,avant,245.0,438.0,166.0,131.0,1,Arbre à cames en tête,quatre,1999,2bbl,85,3.0,8.0,88,5000,0.0,0.0,5941.0,mitsubishi,montero
essence,standard,quatre,berline,traction avant,avant,245.0,438.0,166.0,131.0,1,Arbre à cames en tête,quatre,1999,2bbl,85,3.0,8.0,88,5000,0.0,0.0,6961.0,mitsubishi,pajero
essence,turbocharged,quatre,berline,traction avant,avant,245.0,438.0,166.0,131.0,1,Arbre à cames en tête,quatre,1803,spdi,81,3.0,8.0,116,5500,0.0,0.0,7887.0,mitsubishi,outlander
essence,standard,quatre,berline,traction avant,avant,245.0,438.0,166.0,131.0,1,Arbre à cames en tête,quatre,1803,spdi,81,3.0,8.0,116,5500,0.0,0.0,7887.0,mitsubishi,mirage g4
essence,standard,deux,berline,traction avant,avant,240.0,420.0,162.0,138.0,1,Arbre à cames en tête,quatre,1590,2bbl,80,3.0,9.0,69,5200,0.0,0.0,4674.0,nissan,versa
diesel,standard,deux,berline,traction avant,avant,240.0,420.0,162.0,138.0,1,Arbre à cames en tête,quatre,1688,idi,76,3.0,22.0,55,4800,0.0,0.0,6034.0,nissan,gt-r
essence,standard,deux,berline,traction avant,avant,240.0,420.0,162.0,138.0,1,Arbre à cames en tête,quatre,1590,2bbl,80,3.0,9.0,69,5200,0.0,0.0,5652.0,nissan,rogue
essence,standard,quatre,berline,traction avant,avant,240.0,420.0,162.0,138.0,1,Arbre à cames en tête,quatre,1590,2bbl,80,3.0,9.0,69,5200,0.0,0.0,5822.0,nissan,latio
essence,standard,quatre,break,traction avant,avant,240.0,432.0,162.0,136.0,1,Arbre à cames en tête,quatre,1590,2bbl,80,3.0,9.0,69,5200,0.0,0.0,6247.0,nissan,titan
essence,standard,deux,berline,traction avant,avant,240.0,420.0,162.0,138.0,1,Arbre à cames en tête,quatre,1590,2bbl,80,3.0,9.0,69,5200,0.0,0.0,6204.0,nissan,leaf
essence,standard,deux,à hayon,traction avant,avant,240.0,421.0,162.0,135.0,1,Arbre à cames en tête,quatre,1590,2bbl,80,3.0,9.0,69,5200,0.0,0.0,6629.0,nissan,juke
essence,standard,quatre,berline,traction avant,avant,240.0,420.0,162.0,138.0,1,Arbre à cames en tête,quatre,1590,2bbl,80,3.0,9.0,69,5200,0.0,0.0,6374.0,nissan,latio
essence,standard,quatre,break,traction avant,avant,240.0,432.0,162.0,136.0,1,Arbre à cames en tête,quatre,1590,2bbl,80,3.0,9.0,69,5200,0.0,0.0,6799.0,nissan,note
essence,standard,deux,coupé,traction avant,avant,242.0,412.0,162.0,135.0,1,Arbre à cames en tête,quatre,1590,2bbl,80,3.0,9.0,69,5200,0.0,0.0,7012.0,nissan,clipper
essence,standard,quatre,à hayon,traction avant,avant,247.0,440.0,166.0,139.0,1,Arbre à cames en tête,quatre,1966,2bbl,85,3.0,8.0,97,5200,0.0,0.0,7607.0,nissan,rogue
essence,standard,quatre,berline,traction avant,avant,247.0,440.0,166.0,139.0,1,Arbre à cames en tête,quatre,1966,2bbl,85,3.0,8.0,97,5200,0.0,0.0,8117.0,nissan,nv200
essence,standard,quatre,berline,traction avant,avant,255.0,462.0,169.0,140.0,1,Arbre à cames en tête avec soupapes en V,six,2966,mpfi,87,3.0,9.0,152,5200,0.0,0.0,11474.0,nissan,dayz
